Etablissement;Annee;Ville;UAI;Code commune;Academie;Departement;Secteur;Presents - L;Presents - ES;Presents - S;Presents - STG;Presents - STI2D;Presents - STD2A;Presents - STMG;Presents - STI;Presents - STL;Presents - ST2S;Presents - TMD;Presents - STHR;Presents - Toutes series;Taux de reussite - L;Taux de reussite - ES;Taux de reussite - S;Taux de reussite - STG;Taux de reussite - STI2D;Taux de reussite - STD2A;Taux de reussite - STMG;Taux de reussite - STI;Taux de reussite - STL;Taux de reussite - ST2S;Taux de reussite - TMD;Taux de reussite - STHR;Taux de reussite - Toutes series;Taux de reussite attendu acad - L;Taux de reussite attendu acad - ES;Taux de reussite attendu acad - S;Taux de reussite attendu acad - STG;Taux de reussite attendu acad - STI2D;Taux de reussite attendu acad - STD2A;Taux de reussite attendu acad - STMG;Taux de reussite attendu acad - STI;Taux de reussite attendu acad - STL;Taux de reussite attendu acad - ST2S;Taux de reussite attendu acad - TMD;Taux de reussite attendu acad - STHR;Taux de reussite attendu acad - Toutes series;Taux de reussite attendu france - L;Taux de reussite attendu france - ES;Taux de reussite attendu france - S;Taux de reussite attendu france - STG;Taux de reussite attendu france - STI2D;Taux de reussite attendu france - STD2A;Taux de reussite attendu france - STMG;Taux de reussite attendu france - STI;Taux de reussite attendu france - STL;Taux de reussite attendu france - ST2S;Taux de reussite attendu france - TMD;Taux de reussite attendu france - STHR;Taux de reussite attendu france - Toutes series;Taux de mentions - L;Taux de mentions - ES;Taux de mentions - S;Taux de mentions - STI2D;Taux de mentions - STD2A;Taux de mentions - STMG;Taux de mentions - STL;Taux de mentions - ST2S;Taux de mentions - TMD;Taux de mentions - STHR;Taux de mentions - Toutes series;Taux de mentions attendu - L;Taux de mentions attendu - ES;Taux de mentions attendu - S;Taux de mentions attendu - STI2D;Taux de mentions attendu - STD2A;Taux de mentions attendu - STMG;Taux de mentions attendu - STL;Taux de mentions attendu - ST2S;Taux de mentions attendu - TMD;Taux de mentions attendu - STHR;Taux de mentions attendu - Toutes series;Structure pedagogique 5 groupes;Structure pedagogique 7 groupes;Pourcentage bacheliers sortants 2de 1re Terminale Etablissement;Pourcentage bacheliers sortants Terminales Etablissement;Pourcentage bacheliers sortants 2de 1re Terminale Acad;Pourcentage bacheliers sortants Terminale Acad;Pourcentage bacheliers sortants 2de 1re Terminale France;Pourcentage bacheliers sortants Terminale France;Effectif de seconde;Effectif de premiere;Effectif de terminale;Taux d'acces 2nde-bac;Taux d'acces attendu acad 2nde-bac;Taux d'acces attendu france 2nde-bac;Taux d'acces 1ere-bac;Taux d'acces attendu acad 1ere-bac;Taux d'acces attendu france 1ere-bac;Taux d'acces terminale-bac;Taux d'acces attendu france terminale-bac;Region;Code region;code_departement;Departement.1;Valeur ajoutee du taux de reussite - Toutes series;Valeur ajoutee du taux d'acces 2nde-bac;Valeur ajoutee du taux de mentions - Toutes series;Valeur ajoutee du taux de reussite - L;Valeur ajoutee du taux de reussite - ES;Valeur ajoutee du taux de reussite - S;Valeur ajoutee du taux de reussite - STG;Valeur ajoutee du taux de reussite - STI2D;Valeur ajoutee du taux de reussite - STD2A;Valeur ajoutee du taux de reussite - STMG;Valeur ajoutee du taux de reussite - STI;Valeur ajoutee du taux de reussite - STL;Valeur ajoutee du taux de reussite - ST2S;Valeur ajoutee du taux de reussite - TMD;Valeur ajoutee du taux de reussite - STHR;Valeur ajoutee du taux d'acces 1ere-bac;Valeur ajoutee du taux d'acces terminale-bac;Valeur ajoutee du taux de mentions - L;Valeur ajoutee du taux de mentions - ES;Valeur ajoutee du taux de mentions - S;Valeur ajoutee du taux de mentions - STI2D;Valeur ajoutee du taux de mentions - STD2A;Valeur ajoutee du taux de mentions - STMG;Valeur ajoutee du taux de mentions - STL;Valeur ajoutee du taux de mentions - ST2S;Valeur ajoutee du taux de mentions - TMD;Valeur ajoutee du taux de mentions - STHR;Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
LYCEE SAINT-MICHEL DE PICPUS;2017;PARIS 12;0753897D;75112;PARIS;Paris;PR;35.0;97.0;143.0;;;;;;;;;;275;100.0;100.0;100.0;;;;;;;;;;100;;;;;;;;;;;;;;99;99;99;;;;;;;;;;99;94.0;98.0;99.0;;;;;;;;98.0;85;85;91;;;;;;;;88;;A;;;;;;;329.0;271.0;268.0;78;;87;92.0;;97;99.0;100;Ile-de-France;11;75;Paris;1;-9;10;1;1;1;;;;;;;;;;-5;-1;9;13;8;;;;;;;;0753897D;Lycée privé Saint-Michel de Picpus;Lycée;Privé;53 rue de la Gare de Reuilly;;75012 Paris;75012.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 43 44 55 56;01 43 43 08 34;http://www.stmicheldepicpus.fr;contact@saintmicheldepicpus.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;34013895700089.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9546;48.8423138252,2.39651040307;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;655708.0;6860421.0;EPSG:2154;;48.84231382517972;2.396510403069465;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE E. NAPOLEON ST PIERRE FOURIER;2017;PARIS 12;0753898E;75112;PARIS;Paris;PR;26.0;61.0;64.0;;;;;;;;;;151;100.0;100.0;100.0;;;;;;;;;;100;;;;;;;;;;;;;;96;96;96;;;;;;;;;;96;58.0;70.0;75.0;;;;;;;;70.0;60;61;63;;;;;;;;62;;A;;;;;;;192.0;158.0;149.0;78;;78;95.0;;93;100.0;98;Ile-de-France;11;75;Paris;4;0;8;4;4;4;;;;;;;;;;2;2;-2;9;12;;;;;;;;0753898E;Lycée privé Eugène Napoléon - Saint-Pierre Fourier;Lycée;Privé;13 rue de Prague;;75012 Paris;75012.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 43 43 55 03;01 43 43 65 85;http://www.spfparis12.fr;secretariat@eclpierrefourier.org;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78452116300047.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16790;48.8497173437,2.37582947544;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;654196.7;6861256.0;EPSG:2154;;48.84971734370952;2.37582947543678;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE LA TOUR;2017;PARIS 16;0753943D;75116;PARIS;Paris;PR;23.0;40.0;57.0;;;;;;;;;;120;100.0;100.0;100.0;;;;;;;;;;100;;;;;;;;;;;;;;98;98;98;;;;;;;;;;98;96.0;90.0;91.0;;;;;;;;92.0;77;80;82;;;;;;;;80;;A;;;;;;;149.0;135.0;121.0;78;;86;92.0;;96;100.0;99;Ile-de-France;11;75;Paris;2;-8;12;2;2;2;;;;;;;;;;-4;1;19;10;9;;;;;;;;0753943D;Lycée privé de la Tour;Lycée;Privé;86 rue de la Tour;;75016 Paris;75116.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 04 73 35;01 45 04 27 98;http://www.institutdelatour.com;info@institutdelatour.com;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78466215700022;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3549;48.861566957,2.27882948512;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;647090.8;6862634.2;EPSG:2154;;48.86156695699225;2.278829485121222;Numéro de rue;1968-03-25;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE NOTRE-DAME DES OISEAUX;2017;PARIS 16;0753946G;75116;PARIS;Paris;PR;26.0;72.0;59.0;;;;;;;;;;157;92.0;97.0;98.0;;;;;;;;;;97;;;;;;;;;;;;;;97;97;98;;;;;;;;;;97;69.0;69.0;81.0;;;;;;;;74.0;64;62;77;;;;;;;;68;;A;;;;;;;150.0;150.0;161.0;77;;83;86.0;;92;91.0;95;Ile-de-France;11;75;Paris;0;-6;6;-5;0;0;;;;;;;;;;-6;-4;5;7;4;;;;;;;;0753946G;Lycée privé Notre-Dame des Oiseaux;Lycée;Privé;12 rue Michel Ange;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 42 88 02 52;01 42 88 01 92;http://www.ndo.fr;notre-dame-des-oiseaux@wanadoo.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;57219568300022.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13280;48.8467288906,2.26297012559;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;645911.9;6860995.1;EPSG:2154;;48.84672889059724;2.26297012558929;Numéro de rue;1968-03-27;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE CATHERINE LABOURE (GENERAL ET TECHNO.);2017;PARIS 14;0754045P;75114;PARIS;Paris;PR;;21.0;9.0;;;;73.0;;;;;;103;;95.0;100.0;;;;93.0;;;;;;94;;;;;;;;;;;;;;;94;;;;;96;;;;;;95;;62.0;56.0;;;68.0;;;;;66.0;;45;;;;51;;;;;50;;F;;;;;;;87.0;104.0;105.0;63;;71;84.0;;90;95.0;95;Ile-de-France;11;75;Paris;-1;-8;16;;1;ND;;;;-3;;;;;;-6;0;;17;ND;;;17;;;;;0754045P;Lycée privé Catherine Labouré;Lycée;Privé;29 rue Gassendi;;75014 Paris;75014.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 43 22 02 62;01 43 22 49 62;http://www.saintecatherinelaboure.com/;catherine.laboure@wanadoo.fr;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78457363600015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3125;48.8340281312,2.326610673;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;650570.1;6859541.2;EPSG:2154;;48.83402813117086;2.326610673003306;Numéro de rue;1968-03-15;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;30;;;;01000;BASSIN PARIS
LYCEE PASSY-SAINT-HONORE;2017;PARIS 16;0754666P;75116;PARIS;Paris;PR;18.0;36.0;;;;;103.0;;;36.0;;;193;100.0;100.0;;;;;100.0;;;100.0;;;100;;;;;;;;;;;;;;96;94;;;;;97;;;98.0;;;97;61.0;50.0;;;;83.0;;64.0;;;72.0;59;52;;;;60;;62.0;;;59;;G;;;;;;;129.0;203.0;186.0;82;;76;95.0;;91;100.0;96;Ile-de-France;11;75;Paris;3;6;13;4;6;;;;;3;;;2;;;4;4;2;-2;;;;23;;2;;;0754666P;Lycée privé Passy Saint-Honoré;Lycée;Privé;117 avenue Victor Hugo;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 53 70 12 70;01 45 53 18 85;http://www.passy-st-honore.eu;admin@passy-st-honore.com;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;40483807000013.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17986;48.8682758145,2.2823696593;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;647357.3;6863377.8;EPSG:2154;;48.86827581446612;2.282369659298864;Numéro de rue;1993-09-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;30;;;;01000;BASSIN PARIS
LYCEE LUCIEN DE HIRSCH;2017;PARIS 19;0754965P;75119;PARIS;Paris;PR;;25.0;42.0;;;;;;;;;;67;;96.0;100.0;;;;;;;;;;99;;;;;;;;;;;;;;;87;92;;;;;;;;;;90;;36.0;76.0;;;;;;;;61.0;;26;48;;;;;;;;40;;F;;;;;;;87.0;76.0;76.0;64;;76;82.0;;94;98.0;98;Ile-de-France;11;75;Paris;9;-12;21;;9;8;;;;;;;;;;-12;0;;10;28;;;;;;;;0754965P;Lycée privé Lucien de Hirsch;Lycée;Privé;12-14 rue Henri Murger;;75019 Paris;75019.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 42 08 84 14;01 42 41 54 48;http://www.luciendehirsch.net;ldhlycee@hotmail.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78477860700027;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10513;48.8796597229,2.37662962296;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;654281.7;6864584.9;EPSG:2154;;48.87965972290767;2.3766296229591246;Numéro de rue;1999-09-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;30;;;;01000;BASSIN PARIS
LYCEE CHARLES DE FOUCAULD;2017;PARIS 18;0754086J;75118;PARIS;Paris;PR;33.0;29.0;49.0;;;;47.0;;;;;;158;100.0;97.0;100.0;;;;100.0;;;;;;99;;;;;;;;;;;;;;96;94;93;;;;95;;;;;;95;61.0;72.0;65.0;;;85.0;;;;;72.0;60;49;53;;;53;;;;;54;;B;;;;;;;209.0;188.0;172.0;89;;81;97.0;;92;99.0;97;Ile-de-France;11;75;Paris;4;8;18;4;3;7;;;;5;;;;;;5;2;1;23;12;;;32;;;;;0754086J;Lycée privé Charles de Foucauld;Lycée;Privé;5 rue de la Madone;;75018 Paris;75018.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 46 07 72 59;;http://www.lamadone.fr;administratif@lamadone.fr;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;0.0;33875689300016.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6617;48.8926023754,2.36118975915;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;653161.0;6866033.1;EPSG:2154;;48.89260237540899;2.361189759148632;Numéro de rue;1968-03-28;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;30;;;;01000;BASSIN PARIS
LYCEE VICTOR DURUY;2017;PARIS 07;0750662M;75107;PARIS;Paris;PU;58.0;94.0;162.0;;;;;;;;;;314;98.0;99.0;99.0;;;;;;;;;;99;;;;;;;;;;;;;;98;97;98;;;;;;;;;;97;79.0;68.0;79.0;;;;;;;;76.0;75;70;78;;;;;;;;75;;A;;;;;;;349.0;319.0;309.0;87;;82;96.0;;95;98.0;99;Ile-de-France;11;75;Paris;2;5;1;0;2;1;;;;;;;;;;1;-1;4;-2;1;;;;;;;;0750662M;Lycée Victor Duruy;Lycée;Public;33 boulevard des Invalides;;75007 Paris;75007.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 40 62 31 31;01 40 62 31 05;http://www.victor-duruy.org;proviseur.vduruy@laposte.net;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;1.0;19750662900017.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3322;48.852291315,2.31485062767;SANS OBJET;Paris;Paris;Ile-de-France;649724.5;6861579.3;EPSG:2154;;48.85229131504307;2.314850627670927;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;99;0752528R;;;01000;BASSIN PARIS
LYCEE RABELAIS-PARAMEDICAL ET SOCIAL;2017;PARIS 18;0750688R;75118;PARIS;Paris;PU;14.0;24.0;23.0;;;;;;10.0;57.0;;;128;71.0;67.0;78.0;;;;;;80.0;75.0;;;74;;;;;;;;;;;;;;81;69;66;;;;;;69;84;;;76;7.0;13.0;13.0;;;;30.0;16.0;;;15.0;17;10;14;;;;20;26;;;19;;D;;;;;;;146.0;157.0;178.0;56;;46;82.0;;74;85.0;77;Ile-de-France;11;75;Paris;-2;10;-4;-10;-2;12;;;;;;11;-9;;;8;8;-10;3;-1;;;;10;-10;;;0750688R;Lycée François Rabelais;Lycée;Public;9 rue Francis de Croisset;;75018 Paris;75018.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 53 09 13 00;01 53 09 13 13;http://www.ac-paris.fr/serail/jcms/s1_984030/accueil;ce.0750688r@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;19750688400018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14500;48.8992352696,2.34561006287;SANS OBJET;Paris;Paris;Ile-de-France;652024.8;6866780.0;EPSG:2154;;48.89923526964447;2.345610062869426;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0752195D;;;01000;BASSIN PARIS
LYCEE MOLIERE;2017;PARIS 16;0750703G;75116;PARIS;Paris;PU;49.0;78.0;69.0;;;;;;;;;;196;92.0;83.0;93.0;;;;;;;;;;89;;;;;;;;;;;;;;92;90;86;;;;;;;;;;89;49.0;36.0;38.0;;;;;;;;40.0;41;36;34;;;;;;;;36;;A;;;;;;;241.0;202.0;193.0;70;;65;88.0;;87;92.0;94;Ile-de-France;11;75;Paris;0;5;4;0;-7;7;;;;;;;;;;1;-2;8;0;4;;;;;;;;0750703G;Lycée Molière;Lycée;Public;71 rue du Ranelagh;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 42 88 14 27;01 42 24 98 31;http://www.lycee-moliere.fr;ce.0750703g@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;0.0;19750703100015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18088;48.8550032332,2.27210991621;SANS OBJET;Paris;Paris;Ile-de-France;646591.1;6861908.9;EPSG:2154;;48.85500323319088;2.272109916213486;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;99;0752551R;;;01000;BASSIN PARIS
ECOLE ALSACIENNE;2017;PARIS 06;0753647G;75106;PARIS;Paris;PR;18.0;62.0;99.0;;;;;;;;;;179;100.0;98.0;99.0;;;;;;;;;;99;;;;;;;;;;;;;;98;98;99;;;;;;;;;;99;100.0;79.0;90.0;;;;;;;;87.0;79;78;87;;;;;;;;83;;A;;;;;;;182.0;176.0;181.0;91;;87;97.0;;96;98.0;99;Ile-de-France;11;75;Paris;0;4;4;2;0;0;;;;;;;;;;1;-1;21;1;3;;;;;;;;0753647G;Lycée privé L'Ecole alsacienne;Lycée;Privé;109 rue Notre-Dame des Champs;;75006 Paris;75006.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 32 04 70;01 43 29 02 84;http://www.ecole-alsacienne.org;courrier@ecole-alsacienne.org;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;78428085100014.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15682;48.8410044284,2.33381959399;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;651105.8;6860312.4;EPSG:2154;;48.84100442841867;2.333819593992199;Numéro de rue;1966-06-28;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.);2017;PARIS 15;0751708Z;75115;PARIS;Paris;PU;;26.0;21.0;;34.0;;47.0;;;;;;128;;54.0;71.0;;76.0;;79.0;;;;;;72;;;;;;;;;;;;;;;82;73;;90;;88;;;;;;85;;8.0;19.0;29.0;;30.0;;;;;23.0;;23;24;40;;31;;;;;31;;G;;;;;;;48.0;109.0;136.0;49;;60;71.0;;79;81.0;86;Ile-de-France;11;75;Paris;-13;-11;-8;;-28;-2;;-14;;-9;;;;;;-8;-5;;-15;-5;-11;;-1;;;;;0751708Z;Lycée Louis Armand;Lycée;Public;321 rue Lecourbe;;75015 Paris;75015.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 45 57 51 50;;http://www.ac-paris.fr/serail/jcms/s1_1476599/fr/lycee-general-scientifique-technologique-et-professionnel-louis-armand;secretariat.louisarmand@gmail.com;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;19751708900011.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2199;48.8372651929,2.28526535039;SANS OBJET;Paris;Paris;Ile-de-France;647538.5;6859927.8;EPSG:2154;;48.83726519286379;2.285265350394968;Numéro de rue;1970-03-19;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;99;0751708Z;;;01000;BASSIN PARIS
LYCEE AUGUSTE RENOIR;2017;PARIS 18;0750710P;75118;PARIS;Paris;PU;;;;;;50.0;;;;;;;50;;;;;;96.0;;;;;;;96;;;;;;;;;;;;;;;;;;;97.0;;;;;;;97;;;;;46.0;;;;;;46.0;;;;;61.0;;;;;;61;;F;;;;;;;60.0;60.0;58.0;89;;77;100.0;;95;100.0;99;Ile-de-France;11;75;Paris;-1;12;-15;;;;;;-1;;;;;;;5;1;;;;;-15.0;;;;;;0750710P;Lycée technologique d'Arts appliqués Auguste Renoir;Lycée;Public;24 rue Ganneron;;75018 Paris;75018.0;75100;Paris;075;1.0;11.0;;;0.0;1.0;0.0;01 40 08 45 60;01 40 08 45 73;http://ecole-lycee-renoir-paris.fr;ce.0750710p@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;;1.0;19750710600015.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1968;48.886883457,2.3281404949;SANS OBJET;Paris;Paris;Ile-de-France;650732.4;6865417.3;EPSG:2154;;48.88688345696886;2.3281404949039985;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;301.0;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;99;0752533W;;;01000;BASSIN PARIS
LYCEE CARNOT;2017;PARIS 17;0750704H;75117;PARIS;Paris;PU;20.0;102.0;170.0;;;;;;;;;;292;95.0;98.0;98.0;;;;;;;;;;98;;;;;;;;;;;;;;94;97;97;;;;;;;;;;96;45.0;73.0;75.0;;;;;;;;72.0;54;65;68;;;;;;;;66;;A;;;;;;;309.0;287.0;294.0;92;;82;98.0;;95;99.0;98;Ile-de-France;11;75;Paris;2;10;6;1;1;1;;;;;;;;;;3;1;-9;8;7;;;;;;;;0750704H;Lycée Carnot;Lycée;Public;145 boulevard Malesherbes;;75017 Paris;75017.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 56 21 36 36;01 56 21 36 37;http://www.lyceecarnot-paris.fr;ce.0750704H@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;19750704900017.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16365;48.8844861599,2.30782961848;SANS OBJET;Paris;Paris;Ile-de-France;649240.7;6865163.6;EPSG:2154;;48.88448615992047;2.3078296184779563;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;99;0752552S;;;01000;BASSIN PARIS
LYCEE JEAN-BAPTISTE SAY;2017;PARIS 16;0750700D;75116;PARIS;Paris;PU;20.0;49.0;191.0;;;;;;;;;;260;100.0;96.0;99.0;;;;;;;;;;98;;;;;;;;;;;;;;98;97;98;;;;;;;;;;98;85.0;82.0;90.0;;;;;;;;88.0;75;70;81;;;;;;;;78;;A;;;;;;;283.0;288.0;287.0;94;;86;98.0;;96;99.0;99;Ile-de-France;11;75;Paris;0;8;10;2;-1;1;;;;;;;;;;2;0;10;12;9;;;;;;;;0750700D;Lycée Jean-Baptiste Say;Lycée;Public;11 bis rue d'Auteuil;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 53 92 78 00;01 53 92 78 15;http://lyc-jb-say.scola.ac-paris.fr;ce.0750700d@ac-paris.fr;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;19750700700015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2433;48.8472424136,2.26736029464;SANS OBJET;Paris;Paris;Ile-de-France;646234.6;6861049.2;EPSG:2154;;48.84724241357904;2.2673602946427573;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0752549N;;;01000;BASSIN PARIS
